raw_name,canonical_name
Wizzmoni Financial Services Limited (formerly Unimoni Financial Services Limited and UAE Exchange & Financial Services Ltd.),Wizzmoni Financial Services Limited (formerly Unimoni Financial Services Limited and UAE Exchange & Financial Services Ltd.)
Yes Bank Limited,Yes Bank Limited
iDisha Info Labs Private Limited,iDisha Info Labs Private Limited
TJSB SAHAKARI BANK LTD. THANE,TJSB SAHAKARI BANK LTD. THANE
Total number of Active PPI Cards. PPIs with at least one financial transaction the last one year are considered as Active.,Total number of Active PPI Cards. PPIs with at least one financial transaction the last one year are considered as Active.
Total number of Active PPI Wallets. PPIs with at least one financial transaction the last one year are considered as Active.,Total number of Active PPI Wallets. PPIs with at least one financial transaction the last one year are considered as Active.
Total number of PPI Cards deployed by the entity,Total number of PPI Cards deployed by the entity
Total number of PPI Wallets deployed by the entity,Total number of PPI Wallets deployed by the entity
Total number of cash withdrawal transactions done by the PPI cards issued by the entity at ATMs,Total number of cash withdrawal transactions done by the PPI cards issued by the entity at ATMs
Total number of cash withdrawal transactions done by the PPI cards issued by the entity at PoS,Total number of cash withdrawal transactions done by the PPI cards issued by the entity at PoS
"Total number of financial transactions done by the PPI cards issued by the entity for fund transfer (e.g., from own PPI to other PPIs issued by same or other PPI issuers, PPI to Bank account, etc.)","Total number of financial transactions done by the PPI cards issued by the entity for fund transfer (e.g., from own PPI to other PPIs issued by same or other PPI issuers, PPI to Bank account, etc.)"
Total number of financial transactions done by the PPI cards issued by the entity for purchase of Goods and Services (both at PoS terminal and at online (e.g. e-commerce websites)),Total number of financial transactions done by the PPI cards issued by the entity for purchase of Goods and Services (both at PoS terminal and at online (e.g. e-commerce websites))
Total number of financial transactions done by the PPI wallets issued by the entity for fund transfer,Total number of financial transactions done by the PPI wallets issued by the entity for fund transfer
Total number of financial transactions done by the PPI wallets issued by the entity to purchase goods and services,Total number of financial transactions done by the PPI wallets issued by the entity to purchase goods and services
Total value of cash withdrawal transactions done by the PPI cards issued by the entity at ATMs,Total value of cash withdrawal transactions done by the PPI cards issued by the entity at ATMs
Total value of cash withdrawal transactions done by the PPI cards issued by the entity at PoS,Total value of cash withdrawal transactions done by the PPI cards issued by the entity at PoS
"Total value of financial transactions done by the PPI cards issued by the entity for fund transfer (e.g., from own PPI to other PPIs issued by same or other PPI issuers, PPI to Bank account, etc.)","Total value of financial transactions done by the PPI cards issued by the entity for fund transfer (e.g., from own PPI to other PPIs issued by same or other PPI issuers, PPI to Bank account, etc.)"
Total value of financial transactions done by the PPI cards issued by the entity for purchase of Goods and Services (both at PoS terminal and at online (e.g. e-commerce websites)),Total value of financial transactions done by the PPI cards issued by the entity for purchase of Goods and Services (both at PoS terminal and at online (e.g. e-commerce websites))
Total value of financial transactions done by the PPI wallets issued by the entity for fund transfer,Total value of financial transactions done by the PPI wallets issued by the entity for fund transfer
Total value of financial transactions done by the PPI wallets issued by the entity to purchase goods and services,Total value of financial transactions done by the PPI wallets issued by the entity to purchase goods and services
